Description,Tag,Code
"Pivotal is building a new platform for a new era, setting the standard for Enterprise Platform-as-a-Service (PaaS). The companyÕs mission is to enable customers to build a new class of applications, leveraging big and fast data, doing all of this with the power of cloud independence.",Mobile and Web Development,90
"MuleSoft provides the platform that changes how businesses connect and integrate to SaaS, SOA, and API platforms. With Anypoint Platform's API-led connectivity approach, MuleSoft is lifting the weight of custom connections and freeing companies to innovate faster.",Digital Transformation Services,46
"Pyramid Analytics is a web-based business intelligence platform that helps companies analyze and capitalize on their data. It emphasizes ""collaborative BI"" as a differentiator, with embedded features that help individuals and teams share comments and tasks within the tool.",Enterprise Intelligence,51
"Druva offers integrated enterprise online backup, secure file sharing and data analytics for complete protection and governance of endpoint data.",Mobile Security,92
"ClearStory quickly harmonizes and blends data with different formats, from both internal and external sources, on the fly, presenting it visually so that people from all over a company can look at it and understand it regardless of their jobs.",Data Visualization,41
"Looker is a data analytics company that provides data unification across multiple sources, both internal and external, to create a common data language for employees across the organization. The data is then vizualized with dashboards and referenced against user-determined KPIs to help companies quickly analyze performance.",Cloud Services and Platforms,14
"Platfora provides a data analytics platform built on Hadoop that takes raw data from customer interactions, reciepts and logs and processes it for quick access and analysis across the organization without needing to write code.",Data Visualization,41
GoodData is a cloud-based business intelligence platform that helps companies make sense of their data. It embeds interactive recommendations into its tool to help users analyze their data more efficiently.,Enterprise Intelligence,51
"CloudFlare provides online services to protect, accelerate, and optimize a company's websites online.  CloudFlare's offers services that utilize a global network to distribute content and speed up websites, protect websites from a range of online threats, give insight into the websiteÕs traffic, and help its users install web applications on their websites.",Information Security,69
"DoubleDutch is a mobile app for designing, managing, and analyzing stakeholder experiences at events and conferences. Event hosts engage and communicate with attendees through the app to monitor developments in real-time, and can analyze the data later on to improve future experiences.",Mobile and Web Development,90
"Datadog takes care of the complex task of managing a metrics back-end. Instead of figuring out how and where to store data, we get to focus on actually using the data to make better decisions.",Performance Management,102
"Bluenose is a customer success platform that empowers SaaS businesses to proactively manage customers through complete visibility, a robust early warning system, and built-in playbooks.",Predictive Analytics,104
"Medallia provides customer experience software and services that leverage technology to bring data collection, analytics, collaboration, mobile, social, and visualization capabilities into its solutions to help clients enhance their brand and improve customer acquisition, satisfaction and retention.",Marketing Analytics,84
"MomentFeed is a digital marketing platform that enables brands to connect with consumers as if they were a local store. By capturing and synchronizing individual location data with local social networks; the platform enables locally relevant consumer engagement, delivers localized advertising and provides tools to measure marketing activities relative to business results.",Social Media,116
Infer is a predictive customer lead intelligence platform. It leverages advanced predictive modeling techniques to analyze existing internal data and a variety of external sources to help enterprises win new customers.,Social Media,116
"Socrata is the global leader in software solutions that are designed exclusively for digital government. SocrataÕs cloud-based, Software as a Service (SaaS) solutions, supported by the Socrata Open Data Network and Socrata Partner Ecosystem, deliver unprecedented data-driven innovation and cost-savings for hundreds of public sector leaders and millions of their constituents around the world.",Cloud Services and Platforms,14
"Acquired by Google in 2014, Stackdriver provides monitoring services for cloud-powered applications.  Stackdriver focuses on helping cloud-powered companies increase performance and creating efficient monitoring solutions.",Cloud Services and Platforms,14
"Sprinklr offers the Experience Cloudª technology platform, purpose-built to help large brands create, manage, and optimize valuable social experiences that customers will love on 20+ social channels and brand websites. Exerience Cloudª allows brands to consistently deliver valuable customer experiences at every social touch point.",Cloud Services and Platforms,14
"CloudSherpas provides cloud advisory and technology services to improve customer experience. It also helps with cloud strategy, implementation and integration support, as well as training and platform enhancements for customers across all industries.",Enterprise Intelligence,51
"Qualtrics provides software and services focused on capturing and capitalizing on the ""voice of the customer."" It's core offering is an all-in-one platform for analyzing customer insights across various channels and managing direct customer outreach. It also offers a variety of survey creation tools.",Market Research,83
"BuzzSumo is a social media intelligence platform that helps brands understand what social content is working and what content is ineffective. It takes in social data across all major social media sites and enables search, analysis, and report generation on specific content, social influencers, and competitor activity.",Customer Analytics,31
"Upland Software offers enterprise work management software that connects people through technology, automating the flow of work and bringing visibility to all aspects of the organization. Their products help teams run their operations smoothly, adapt to change quickly and achieve more every day.",Performance Management,102
"SendinBlue is a SaaS solution that provides a number of independent such as marketing campaigns, transactional emails, and transactional text messages.",Data Visualization,41
"Brandwatch is a social listening platform that helps companies discover and analyze social media content relevant to them. It helps identify key influencers, analyze the effectiveness of social media campaigns, and translate insights directly into lead generation and marketing execution activities.",Customer Analytics,31
Zeef is an online web search platform that leverages a human crowd to filter and rank search results pertaining to given topics. The content curators find links and articles that best describe or explain a topic. Users search for given topics that interest them and see the curated content as search results.,Market Research,83
"Sellsy provides cloud-based ERP, CRM, and ecommerce software targeting growing enterprises. Features include invoicing, project management, purchasing, expenses, POS, and helpdesk functionality.",Project Management,107
"YieldrÕs adaptive programmatic platform (APP) empowers social, mobile and online display media buyers. Its agile algorithmic decisioning and predictive optimization engine captures and activates users through prospecting and remarketing campaigns. Yieldr offers its Paas solution and consultancy to agency media traders and in-house performance marketers. ",Marketing Services,85
"NeoReach is a social media influencer marketing platform that enables advertisers to identify, connect with and manage the world's top online influencers. Influencers and ""social media celebrities"" - who spread across industries, demographics, and social media platforms - opt in to participate actively in the service.",Marketing Services,85
Dataiku provides a platform enabling data scientists and business analysts to create custom analytical applications. It aggregates the steps and tools necessary to run machine learning and predictive analyses on raw data. ,Predictive Modeling,105
"Crunch is an online managed accounting service targeting freelancers, contractors and small businesses. It provides a team of professional accountants to actively manage client finances, and also provides a cloud accounting platform for transparency and visibility into bookkeeping.",Regulation & Compliance,108
Kaizen is the full-service platform that enables marketing professionals to optimize digital customer experiences at scale without utilizing expensive internal resources by connecting fragmented marketing tools and talent into one optimized ecosystem.,Customer Analytics,31
OurCrowd is an equity-based crowdfunding platform that connects accredited investors with start-ups looking for venture capital. Investors are granted access to the community after a screening process and can make $10K minimum investments.,Exchanges,53
"ironSourceÊis a data and analytics company that provides developers, carriers, device manufacturers & brands the platform to better understand and communicate with their users by using proprietary data-driven technology. It offers a complete ecosystem for online and mobile downloaded applications including all aspects of user acquisition, conversion, monetization, integrated analytics and optimization.",Enterprise Intelligence,51
"CoolaData provides a platform for analyzing granular user behavior data across a variety of online mediums including mobile apps, company websites, gaming platforms, and online publishers. It aggregates user data from a variety of sources and enables the development of custom analytical applications on top of it. It also features pre-configured analytical funcionality and dashboards.",Predictive Modeling,105
G Predictive provides predictive analytics Software-as-a-Service to help clients understand their customers and enhance their marketing campaigns.,Customer Analytics,31
Deltamethod provides unique online marketing software and technology solutions to large international online merchants. Their software solutions are based on advanced data mining and machine learning algorithms.,Market Research,83
"Alpha Sights is an information services firm that helps businesses quickly answer strategic questions by leveraging external experts in their field/industry of inquiry. It finds and forms a panel of experts - often former executives in their field - based on the business challenge, and delivers results in combination with in-house analysts. It emphasizes fast turnaround time on inquiries, with a majority of projects being delivered within 48 hours.",Market Research,83
"Data Fox provides a platform for discovering and tracking companies to invest in. Get access to the real-time data you need about private tech companies, enabling you to prospect for qualified leads, understand market trends, and be the first to know when key milestones are uncovered.",Due Diligence,47
"AlationÕs enterprise data accessibility platform empowers employees inside of data-driven enterprises to find, understand, and use the right data for better, faster business decisions. Alation combines the power of machine learning with human insight to automatically capture information about what the data describes, where the data comes from, whoÕs using it and how itÕs used.",Machine Learning,78
"Cognitive Scale is a cognitive cloud computing solution provider that helps customers source, analyze and interpret data from multiple sources (e.g., social, public, private and device data and context signals) to generate insights to improve decision-making, identify and target customers, refine product and service offerings, and manage risk.",Predictive Modeling,105
"CumuLogic Database Service is an Òon-premÓ platform empowering developers and DBAs with self service database access, while enabling IT Ops to retain control of the underlying infrastructure for governance and security.",Cloud Storage,17
"Ayla Networks provides an end-to-end cloud-based platform for creating and managing internet connected devices. It enables the physical design and build of new connected devices in parallel with developing associated apps for those devices in one solution. OEMs, service providers, and retailers can use the platform to integrate connectivity and data intelligence into products without major design modifications.",Advanced Manufacturing,2
"Awesense is a business intelligence provider that aims to improve how the smart grid operates. It offers energy analytics software and energy measurement hardware for utility companies to monitor energy usage, reduce risk, and improve overall grid efficiency.",Energy Efficiency,50
"RtTech Software develops solutions to help manufacturing companies improve their asset availability, asset utilization and utilities consumption.Ê",Data Aggregation,34
"Sight Machine provides an advanced analytics platform targeting the manufacturing industry. It pulls in data from a variety of factory floor equipment, sensors, and other sources - enabling enterprises to visualize and analyze their floor operations efficiently in one place. It features views applicable to improving overall efficiency and generating insights to inform new product development.",Internet of Things,70
ai-oneª provides application programming interfaces (APIs) that enable developers to build machine learning applications. Our tools enable any programmer to build intelligence into almost any software application.,Machine Learning,78
BigML offers a machine learning service can be used to analyze and predict customer behavior and also examine site behavior. It uses machine learning to find patterns in complex data to create new insights and use those patterns to predict future outcomes.,Predictive Modeling,105
"Dato provides a machine learning platform that creates big data analytics products. The open source platform applyies large scale machine learning to graph analysis, tables, text, and images to make recommendations, detect fraud, conduct customer sentiment analysis, and build predictive apps.",Predictive Modeling,105
"Digital Reasoning provides an enterprise software platform that can understand and generate insights from human communication across a wide variety of languages and mediums. It focuses on detecting and visualizing patterns related to suspicious or unlawful activity, and has served governments, intelligence agencies, and financial institutions.",Machine Learning,78
"Ersatz is a platform for software engineers looking to get more done with machine learning. It offers data wrangling, deep learning, and an API. Powered by excellent open source libraries like theano, pylearn2, and others.",Mobile and Web Development,90
"Kimera Systems provides technology components to device manufacturers and network operators to bring intelligent device behavior to end-users and massively increase device and network profitability. Based on almost a decade of research, Kimera SystemsÕ artificial intelligence technology is a breakthrough in artificial general intelligence technology.",Internet of Things,70
"MetaMind provides ""Artificial-Intelligence (AI)-as-a-Service"" to enterprises, governments, and academic institutions. It combines deep learning, natural language processing, and image recognition to analyze a wide variety of unstructured data. It also enables users to build their own applications on top of the core technology.",Machine Learning,78
"Nervana Systems is a artificial intelligence company that uses deep machine learning algorithms for optimization across various business outcomes. They use a full-stack approach to combine hardware and software cloud machine learning to help companies classify, localize, or predict large-scale datasets.",Neuroscience,98
"Numenta has developed a cohesive theory, core software technology, and numerous applications all based on principles of the neocortex. This technology lays the groundwork for the new era of machine intelligence. Their innovative work delivers breakthrough capabilities and demonstrates that a computing approach based on biological learning principles will make possible a new generation of capabilities not possible with todayÕs programmed computers.",Neuroscience,98
Saffron is an AI company that utilizes machine learning to analyze unstructured and disparate data sets an alternative to data modeling.,Neuroscience,98
"Sentient is applying biologically insprired artificial intelligence technologies to create unique solutions in verticals such as investment, medical diagnosis and e-commerce. The company uses distributed AI technology to find patterns in large data sets and generate insights.",Cognitive Technology,19
"Skymind is a business intelligence and enterprise software firm that analyzes text media, image, video, time series and sound to locate and quantify patterns that affect a company's business.",Natural Language Processing,95
"Vicarious is building a unified algorithmic architecture to achieve human-level intelligence in vision, language, and motor control. Currently, they are focused on visual perception problems, like recognition, segmentation, and scene parsing. ",Natural Language Processing,95
Wise.io is a machine learning company with applications focused on understanding and engaging customers. It also has emerging applications in fraud detection.,Customer Analytics,31
Mu Sigma is a decision sciences and analytics firm that helps companies institutionalize data-driven decision making.,Customer Analytics,31
"Hootsuite is a social media relationship platform with more than 10 million users, including 744 of the Fortune 1000 companies. Hootsuite manages their social media programs across multiple social networks from one integrated dashboard.",Customer Analytics,31
"AdRoll provides retargeting services with over 15,000 active advertisers worldwide. Adroll's platform enables brands of all sizes to create personalized ad campaigns based on their own website data, ensuring maximum return on online advertising spend.",Social Media,116
Kainos is a high-growth IT services company providing digital technology solutions and agile software development to enterprise customers.,Cloud Services and Platforms,14
"PowToon creates minimalist, user friendly and intuitive presentation software that allows someone with no technical or design skills to create engaging professional Òlook and feelÓ animated presentations. ",Process Automation,106
"Workbooks suite of Business Applications are specifically designed for small and mid-size organizations and are delivered via Software-as-a-Service, therefore removing the traditional requirements of having hardware to maintain and software to install and support.",Information Security,69
Stackla is the social content marketing platform that puts user-generated content at the heart of brand marketing.,Customer Analytics,31
Expert360 allows businesses to engage top consulting and finance talent for project-work.  They offer a digital platform that allows clients ranging from startups to enterprises to consulting firms to search and connect with the qualified talent.,Freelance Talent/Labor,61
"BuiltWith is a website profiler, lead generation, competitive analysis and business intelligence tool providing technology adoption, ecommerce data and usage analytics for the internet.",Marketing Services,85
"HackerOne is a managed cyber security service that leverages a crowd of qualified security researchers to provide ""always on"" vulnerability lifecycle management. It also provides a platform for communication between security researchers and internal cyber security and response teams.",Cyber Intelligence,32
"Trustev is the first fraud prevention software that works without ""rules"". It analyzes behavior and transactions, then gives instant decisions that are far more accurate.",Customer Analytics,31
"Iovation protects online businesses and their end users against fraud and abuse through a combination of advanced device identification, shared device reputation and real-time risk evaluation. Iovation's technology identifies and continues to recognize devices over time without requiring personal information.",Information Security,69
"Plotly helps companies through specification, dashboard design, and implementation to ensure world-class graphic and visualization results. Plotly also builds custom graphs and maps from scratch in D3.js or WebGL.",Virtual Collaboration,126
Bench is the online bookkeeping service that provides you tax-ready financial statements from professional bookkeepers.,Regulation & Compliance,108
"Lavante offers cloud-based supplier management solutions for Fortune 1000 Companies. Their mission is to connect businesses with their suppliers and we provide value to both by automating and improving the quality, accuracy and cost effectiveness of business interactions. ",Cloud Services and Platforms,14
"Luckie uses insights pulled from rich data and delivered through traditional, digital and mobile channels to create more engaging, more enduring and more human relationships with your customers.",Marketing Analytics,84
"Visual IQ is across channel marketing attribution software company. Their IQ Intelligence Suiteª of hosted software products reveals cross channel performance insights hidden deep within marketing data, and provides both executive-level and practitioner-level recommendations to improve marketing performance.",Market Research,83
Quby is changing the way people are experiencing energy. The Quby Smart Thermostat provides immediate insight into energy use and energy costs. It keeps you in control of your energy consumption and allows you to adjust if necessary. Their clients are top tier companies delivering home services to consumers. ,Meter Data Management (MDM),88
Crowdynews is a Dutch technology company that enables publishers and editors all over the world to easily blend traditional news stories with the social commentary. CrowdynewsÕ technology automatically selects relevant social media commentary for news stories while giving control over what gets published on a webpage.,Marketing Services,85
"Ayden makes it easy to accept payments worldwide from all sales channels via connection to a single and scalable payment platform. With a seamless solution for mobile, online and in-store transactions, their technology enables merchants to accept almost any type of payment, anywhere in the world.",Financial Analytics,56
Beta List is an online platform that enables users to discover and get early access to the latest internet startups. It enables entrepreneurs to advertise about their startup launches to an audience of early adopters who are ready to provide them with feedback. ,Information Exchange,68
Elastic provides open source projects focused on scalability and ease-of-use that help companies make sense of big data through analytics and visualization.,Data Aggregation,34
"GitLab is an open-source Rails application project providing Git repository management with fine grained access controls, code reviews, issue tracking, activity feeds, wikis and continuous integration. They enable engineering teams to build better products, and spend less time working on code and more time collaborating. GitLab Inc. supports organizations and individuals by offering subscriptions, consulting, development and training for GitLab.",Mobile and Web Development,90
"Silk is a cloud-based data publishing platform that enables users to visualize their data online by the way of interactive web pages called Silks. Silks contain data on a specific topic and anyone can browse a Silk to explore data and create interactive charts, maps and web pages. ",Virtual Collaboration,126
Wercker is a continuous delivery platform focusing on changing the way developers build and deploy their applications. Their platform was built in order to make developers' lives easier and enabling them to move fast and make things.,Mobile and Web Development,90
"Surfly builds next generation web tools that will greatly simplify the experience for online web visitors. Their real-time web sharing technology enables remote collaboration by showing others what you see in your web browser. A website visitorÕs session can be shared with anyone (for instance, a company representative) without the need to install software, or even make any changes to the website.",Remote Workforce,109
Energyworx enables organizations to make confident business decisions with real time generated insights through energy data analytics. They fuel best of breed products and services for the energy and utility industry.,Meter Data Management (MDM),88
"Bynder offers a suite of easy-to-use marketing content and resource management solutions, as well as marketing consulting services.  Bynder's products and services cut across digital asset management, creative project management, brand identity and materials, and web print and publishing.",Cloud Services and Platforms,14
"Equidam offers ""company valuation in a box."" It's platform helps growing businesses value their own companies without professional finance experience through intuitive features and data import capabilities that automatically generate assumptions. Businesses can track their value over time and compare it to other companies.",Financial Data,58
"Papyrs is a simple online intranet and company wiki. Every organization has too many documents, files, CRM information thatÕs too easy to lose track of. Papyrs can put all a company's information in one place to enable sharing documents with colleagues and clients. Papyrs also provides an organizational social network.",Social Media,116
"Xsens provides 3D motion capture sensors and systems used to record, analyze, and recreate physical movements. Its sensor technology combines the use of video and ""inertial"" (physical movement) capture, most often for human movement. It has a number of enterprise applications including video animation in advertising, human-machine interactions, biomechanical analysis and rehabilitation, and automotive testing.",Networks & Sensors,97
"Lex Machina provides an advanced analytics platform for generating insights from vast quantities of legal data. It helps clean and structure litigation data from various sources, then generates reports based on user queries about specific cases, judges, and patents. It is intended to accelerate case building for lawyers and strategic decision-making for business users.",Legal & Contract Document Review,74
"Judicata applies semantic algorithms to analyze case law and turns unstructured court opinions into structured data. Judicata uses that data to build legal research and analytics tools to aid lawyers to make sense of massive amounts of information and help them in exercising their skilled, human judgment.",Risk & Regulatory Analytics,111
"Atlassian provides a suite of applications helping software development teams collaborate and operate more efficiently. It includes tools for managing and testing code, tracking issues, designing and managing development processes, sharing files, and managing customer support activities.",Software Testing,117
"Synack is a managed cyber security service that leverages a crowd of qualified security researchers to provide ""always on"" vulnerability lifecycle management for a monthly fee. It emphasizes its rigorous screening and qualification processes in forming the crowd as a differentiator.",Cyber Intelligence,32
Axon Ghost Sentinal helps protect mobile devices and other internet connect devices from cyber attacks through swarm intelligence and peer-to-peer overlay. These technologies are a form of artificial intelligence that sample information about a specific device and compare it to information from other devices to determine if it is behaving abnormally.,Information Security,69
Shape Security provides a hardware product - ShapeShifter - that plugs into existing web architecture to protect websites from malware and bots. The product automatically disables the ability of malware to interact with the client website by repeatedly re-writing the website's code in real-time.,Process Automation,106
"Cylance offers the CylancePROTECT, which redefines what antivirus can and should do for your organization by leveraging artificial intelligence to detect and prevent malware from executing on your endpoints in real time. Cylance also offers a comprehensive suite of cybersecruity professional services, including incident responses, forensic investigations, and penetration testing.",IT Vulnerability & Threat Assessment,71
"Bitglass is a Cloud Access Security Broker that delivers innovative technologies that transcend the network perimeter to deliver total data protection for the enterprise - in the cloud, on mobile devices and anywhere on the internet.",Information Security,69
"Cloudlock focuses on the Shadow IT challenge that matters Ð those cloud and third-party apps that directly connect into the corporate environment. They've built out a unified cloud security fabric that helps organizations protect their sensitive data in public cloud applications such as Google Apps, Salesforce, Dropbox, Box, ServiceNow, Office 365, Third-party connected and other apps.",IT Vulnerability & Threat Assessment,71
"FireEye has invented a purpose-built, virtual machine-based security platform that provides real-time threat protection to enterprises and governments worldwide against the next generation of cyber attacks. The FireEye Threat Prevention Platform provides real-time, dynamic threat protection without the use of signatures to protect an organization across the primary threat vectors and across the different stages of an attack life cycle. The core of the FireEye platform is a virtual execution engine, complemented by dynamic threat intelligence, to identify and block cyber attacks in real time. ",IT Vulnerability & Threat Assessment,71
BitSight wants to transform how organizations evaluate risk and security performance. They collect and analyze vast amounts of external data on security behaviors and security policy implementations ro provide security ratings on companies. They want to forego going deeper into policies and procedures and instead follow the outside-in model employed by consumer credit rating agencies.,IT Vulnerability & Threat Assessment,71
"Asana is a team communication and collaboration platform meant to be an alternative to email. It features its own team messaging functionality along with task creation, project management, file sharing and commenting features all aggregated into a searchable content archive.",Virtual Collaboration,126
"Slack is a team communication and collaboration platform that intends to replace a majority of email and traditional applications with one tool. Features include real-time messaging and video, file management and storage, task management, and searchable archiving of all user activity. It also integrates with a wide variety of external workflow applications.",Remote Workforce,109
"Front is shared collaborative inboxes for email, SMS, and Twitter built for teams. It provides every external conversation in one place, easily searchable, and sharable with others on your team.",Remote Workforce,109
"Cotap is a mobile app for group texting, calling and file sharing among teams. Features include enterprise-strength security, integration with existing business and file management applications, and functionality designed to engage groups in mobile discussion. It aims to be the 'WhatsApp' for the workplace.",Virtual Collaboration,126
"Huddle is a cloud-based collaboration platform that combines file sharing, document management, workflow and team communication features for enterprises. It is intended to be a modern alternative to Sharepoint.",Virtual Collaboration,126
Caplinked is a platform for secure workflow activity and file sharing between counterparties. It functions as a data room enterprises use to send and receive confidential information from 3rd parties. It also enables communication and task management among stakeholders to close deals more efficiently.,Project Management,107
Minbox is a low cost file sharing and collaboration platform for teams. It features real-time activity feeds and integration with a variety of cloud applications.,Virtual Collaboration,126
"Kato is a team communication and collaboration platform meant to be an all-in-one alternative to email. It combines voice, text, and video messaging capabilities with collaborative document development and file management features.",Virtual Collaboration,126
"Mixpanel provides a platform that analyzes customer, marketing, and product data and visually displays results in a flexible and intuitive manner.",Marketing Analytics,84
"Trustwave provides a variety of cyber security and cyber crime solutions. It offers a mix of software products and managed services through a team of security experts, hackers, and researchers.",Information Security,69
"Veracode protects enterprises from pervasive web and mobile application security threats, offering products and services with a centralized, best practices approach to help scale governance programs across disparate business units and development teams Ñ and systematically reduce application-layer risk across the entire global infrastructure.",Software Testing,117
"LegalZoom is an easy-to-use, online service to help small business and consumers in the United States create  their own legal documents. They focus on convenience and service to provide a smart, cost-effective alternative to make sure everyone gets the legal protection they need.",Regulation & Compliance,108
BeyondCore delivers one-click automated business analysis. Their technology automatically explores millions of variable combinations and immediately presents the most important insights without human bias or error.,Data Visualization,41
"ZipRecruiter simplifies the process for both a job seeker and an employer. With ZipRecruiter, employers can find quality candidates by posting a job to 100+ leading job boards & social networks with one click. Job seekers get email alerts with postings that are tailor made for their skill set and location.",Talent Sustainability,121
"Narrative Science offers Quill, which is a natural language generation (Advanced NLG) platform for the enterprise that creates written narratives based on analysis of data and reporting.",Natural Language Generation,94
"Ideo is a global design firm that takes a human-centered, design-based approach to helping organizations in the public and private sectors innovate and grow. They identify new ways to serve and support people by uncovering latent needs, behaviors, and desires. They help organizations build creative culture and the internal systems required to sustain innovation and launch new ventures.",Education,49
"9lenses provides a platform for ""digitally interviewing"" employees and stakeholders for input into solving specific business challenges. Users create survey-like interviews and send them to target recipients for their feedback. The tool provides detailed analysis and reporting on respondent answers and key trends.",Virtual Collaboration,126
"Gainsight provides a Customer Success Management platform that allows companies to leverage customer intelligence and automation to proactively manage retention, reduce unexpected churn and identify upsell opportunities.",Marketing Analytics,84
"ReseachGate aims to connect researchers and make it easy for them to share and access scientific output, knowledge, and expertise via providing an online social network platform for scientists. On ResearchGate, they find what they need to advance their research.",Expert Networks,54
Infinidat provides next generation enterprise class hybrid storage at a disruptive price point supporting a companyÕs needs for future growth.,Digital Transformation Services,46
"redesign mobile is an online marketplace connecting businesses with qualified freelance professionals to help address temporary business challenges. It focuses on small projects, and allows organizations to see competing results before selecting which professional to pay. Focus areas include projects/advisory in UI/UX design, law, retail customer experience, and payments technology.",Freelance Talent/Labor,61
"SpareHire is an online work marketplace that enables organizations to find and engage top-tier finance and consulting professionals for project-based work. They use technology to increase connectivity between these two groups in a discreet and confidential manner, and foster a flexible work solution for the modern organization and professional in the digital era.",Freelance/Talent Labor,62
"Bit9 + Carbon Black Security provides next-generation endpoint security solution. Its offerings consist of the Bit9 Security Platform for endpoint threat protection, Carbon Black for endpoint detection and response (EDR), and the Threat Intelligence Cloud for comprehensive, aggregated advanced threat intelligence.",Cyber Intelligence,32
Bromium has created a game-changing new technology called micro-virtualization to address enterprise security problems and provide protection for end users against advanced malware. Bromium vSentry provides protection at the endpoint against all advanced malware. ,Cyber Intelligence,32
"Centrify strengthens enterprise security by managing and securing user identities from cyber threats. With their platform of integrated software and cloud-based services, Centrify secures and unifies identity for both privileged and end users across todayÕs hybrid IT world of cloud, mobile and data center. ",Cloud Services and Platforms,14
"Socure is a provider of digital identity verification services. The company applies machine learning techniques with biometrics and data intelligence from email, phone, IP, social media and the broader internet, to offer multi-factor authentication. ",Machine Learning,78
"CipherCloud enables organizations to securely adopt cloud applications by overcoming data privacy, residency, security, and regulatory compliance risks. They deliver an open platform with comprehensive security controls including encryption, tokenization, cloud data loss prevention, cloud malware detection, and activity monitoring. CipherCloudÕs technology protects sensitive information in real time, before it is sent to the cloud, while preserving application usability and functionality.",Information Security,69
"Skyhigh Networks is a Cloud Security and Enablement Company that enables organizations to adopt cloud services with appropriate security, compliance, and governance. Skyhigh supports the entire cloud adoption lifecycle, providing visibility, analytics, and policy-based control.",Cyber Intelligence,32
Lookout provides mobile security solutions for enterprises centered around its predictive machine intelligence platform. The platform leverages a global database of 70M+ mobile users to aggegate mobile threat intelligence on which it runs predictive analysis to identify potential attacks before they happen. It also provides a mobile intelligence center for enterprises to manage security activity for all connected devices throughout the organization.,Cyber Intelligence,32
"Mocana creates and develops mobile application protection (MAP) app-shielding solutions, enabling users to secure mobile apps.",Identity Verification,67
"Pulse Secure is a leading provider of access and mobile security solutions to both enterprises and service providers. Enterprises from every vertical and of all sizes utilize the companyÕs Pulse virtual private network (VPN), network access control and mobile security products to enable end user mobility securely and seamlessly in their organizations.",Identity Verification,67
"Clarabridge is a customer intelligence platform meant to serve as a single source for aggregating customer data across channels and sources, analyzing it, and managing customer outreach in one place. It helps marketing, sales, and customer success teams stay on the same page through a suite of reporting and visualization tools. Other features include consumer sentiment analysis, customer surveys, and direct customer engagement/outreach.",Natural Language Processing,95
"ListenLogic is an unstructured big data analytics firm that monitors a variety of internal and external signals to generate strategic and risk management insights for enterprises. It employs data science, machine learning, and managed services to provide predictive and real-time intelligence on customers, consumers, and a variety of enterprise risk factors.",Risk & Regulatory Analytics,111
"NetBase provides social intelligence solutions that enable brands to publish, monitor, analyze and engage with customers in real time.",Customer Analytics,31
Kira simplifies review and analysis of complex documents with a combination of machine learning technology and legal experts.,Legal & Contract Document Review,74
"Qlik delivers intuitive platform solutions for self-service data visualization, guided analytics applications, embedded analytics and reporting. Its Qlikview product is a guided analytics and dashboarding solution.",Cloud Services & Platforms,12
"Sensum collects and analyzes Òemotional engagementÓ data to judge consumer responses to marketing campaigns, advertisements, and product experiences. It aggregates the data from mobile devices, sensors, and wearable apps through a variety of means including eye tracking, sweat response, biometrics, and facial encoding.",Predictive Modeling,105
"Optimizely is a website optimization platform, providing A/B and multivariate testing that enables users with and without technical expertise to make dynamic changes to their websites, test the variations to live traffic and gather immediate results.",Software Testing,117
"ClearSlide provides a sales engagement platform that gives sales teams access to analytics and insight into how customers interact with content over email, phone, and in person. It also includes presentation software that can be efficiently synced across platforms and devices for use in sales presentations in a variety of formats.",Data Visualization,41
App Annie provides market data and research on mobile app markets as well as an analytics and reporting platform for individual app providers. Enterprises can leverage the market data to inform their overall mobile app strategies and use the analytics platform to monitor and manage their own app performance.,Customer Analytics,31
"Nitro PDF is a platform for creating, editing, and signing PDF documents. It enables users to convert almost any document into a PDF efficiently, and create editable fields for users to fill out digitally. It also enables teams to digitally sign and share documents securely.",Virtual Collaboration,126
"Anaplan provides a cloud-based enterprise business planning platform intended to replace siloed, spreadsheet-driven planning processes across different business units. It has a number of collaborative features, and also enables users to create custom planning applications on the platform. It can automatically integrate a wide variety of existing sources/inputs into one place.",Data Visualization,41
"Livefyre offers a content marketing and engagement platform that helps companies engage consumers through a combination of real-time conversation, social curation, content and advertising.",Predictive Modeling,105
"Lattice Engines offer data-driven business applications that help companies market and sell more intelligently, at every stage of the revenue cycle. Their complete set of marketing and sales applications predicts who will buy, what they are likely to buy and when. ",Predictive Modeling,105
"Applause provides crowdsourced software testing services through a global community of professional testers. Testing services include Functional, Load, Localization, Security, and Usability testing. It also serves as a networking and training platform for the testing community.",Exchanges,53
Cloudera provides companies with a robust and secure data platform built on Apache Hadoop and help drive more value out of their data.,Data infrastructure,36
"Innography is an analysis software platform that offers tools to enable companies for managing intellectual property. By integrating litigation, product, and technology standards, Innography enhances organizations' ability to understand their competition.",Due Diligence,47
