Primary Tag,Secondary 1,Secondary 2,Secondary 3,Secondary 4,Secondary 5,Secondary 6,Secondary 7,Secondary 8,Description
Pervasive Computing,Wearables,Networks & Sensors,Virtual Collaboration,Talent Sustainability,,,,,Sociometric Solutions uses a social sensing platform to analyze communication patterns and help drive transformation services. They provide solutions to a wide variety of enterprises and mid-size firms across a number of different industries.
Digital Enterprise,Marketing Services,Marketing Analytics,Customer Analytics,Cloud Services & Platforms,Data Aggregation,Data Visualization,,,Thalamus offers an enterprise marketing SaaS platform that allows consumer-oriented companies to engage consumers through multiple interaction touch-points and communication channels.
Digital Enterprise,Marketing Services,Design Thinking,Customer Analytics,,,,,,"VisualDNA combines the approaches of data scientists, psychologists, creatives and engineers to understand the human personality, allowing people to understand themselves and businesses to serve their customers better. They help companies bridge communication gaps and enhance web experiences."
Cybersecurity,Cyber Intelligence,Information Security,IT Vulnerability & Threat Assessment,Cloud Services & Platforms,,,,,"Viptela provides Software-Defined Wide Area Network (SD-WAN) technology that allows global companies to build carrier agnostic, policy-controlled and cost-effective WANs."
Workforce of the Future,Talent Sustainability,Virtual Collaboration,Knowledge Management,Project Management,Social Media,,,,1-Page is a job candidate tracking and recruiting platform that helps enterprises engage prospective talent through its employees' social networks. It leverages a proprietary database of over 1 billion candidate profiles to help employers identify talent and which of their employees are connected to them. Its focus is on automating the referral process and increasing the response rate of passive candidates.
Workforce of the Future,Remote Workforce,Virtual Collaboration,Project Management,Knowledge Management,,,,,"Foko is a visual communication app for teams. It enables live video messaging on users' phones as well as instant messaging. Users can also share photos and web links, and all content is securely stored in a searchable content archive."
Workforce of the Future,Talent Sustainability,Virtual Collaboration,Knowledge Management,Project Management,Social Media,,,,"Jobvite provides an end-to-end platform for managing recruiting processes and engaging talent. It's features help employers leverage social media and their own employees for referrals, allows organizations to create custom recruiting websites optimized for mobile, and enables remote engagement and video interviews with candidates."
Legal & Regulatory,Regulation & Compliance,Legal Document Review,Cloud Services and Platforms,Data Infrastructure,,,,,"Icertis provides a top tier enterprise contract management software in the Microsoft Cloud. They offer comprehensive solutions for compliance and contract management, cargo transportation management, fleet management, and public transport management."
Market Intelligence,Due Diligence,Competitor Intelligence,Market Research,Marketing Services,,,,,"Matrix SPS provides a cloud-based technology platform that allows users to redefine how they buy services. The solution they deliver enables Councils to interact with vast and diverse markets via innovative technology that allows the Council to not only define policies, but also enforce them, with regards to how services are bought."
Workforce of the Future,Freelance Talent/Labor,Cloud Services and Platforms,Performance Management,Regulation & Compliance,,,,,"PRO Unlimited provides a group of contingent workforce composed of independent contractors, returning retirees, freelancers and consultants to manage issues related to the procurement, selection, engagement and tracking of contingent (non-employee) worker."
Workforce of the Future,Performance Management,Legal Document Review,Remote Workforce,Global Delivery,,,,,"Sirion is a SaaS platform that simplifies the delivery and consumption of complex services like ITO and BPO. It bridges the gap in existing supplier governance (for buyers) and revenue assurance (for suppliers) solutions by tightly integrating all key disciplines – contracts, performance, financial, risk, and relationship management."
Crowdsourcing,Freelance Talent/Labor,Managed Crowds,Performance Management,Crowd Management Platforms,,,,,Work Market provides an enterprise-class platform and marketplace for managing contractors and freelance labor. They aim to build an on-demand work market of freelancers to solve your toughest business challenges and stay competitive in a modern world.
Data Analytics,Supply Chain Analytics,Financial Analytics,Market Research,Expert Networks,,,,,PowerAdvocate provides market and cost intelligence to energy companies to optimize financial results. They provide engineers and supply chain professionals who can work with companies at every stage of their O&M or capital project process and also deliver software-as-a-service through their Energy Intelligence Platform.
Cybersecurity,IT Vulnerability & Threat Assessment,Information Security,Cyber Intelligence,Cloud Services & Platforms,,,,,"Palerra provides a platform for enterprises to monitor and respond to cyber threats to cloud applications they use outside their firewall. The platform, called LORIC, features predictive analytics and a management dashboard for configuring security preferences that can be automated. It can be leveraged to protect a variety of cloud services including Amazon Web Services, Salesforce, ServiceNow, and Box."
Data Analytics,Machine Learning,IT Vulnerability & Threat Assessment,Cyber Intelligence,"Fraud Monitoring, Protection & Investigation",Predictive Modeling,Risk & Regulatory Analytics,Cognitive Technology,,"ThetaRay provides big data analytics platform and solutions for advanced cyber security, operational efficiency, and risk detection, protecting financial services sectors and critical infrastructure against unknown threats. ThetaRay’s core technology is based on algorithms, which power its proprietary Hyper-Dimensional, Multi-Domain Big Data Analytics platform."
Data Analytics,Digital Benchmarking,Supply Chain Analytics,Virtual Collaboration,,,,,,"B2X provides customer care solutions for electronic devices to manufacturers, insurance providers, mobile network operators and retailers globally. Their shared services platform that consists of global staff, an operational fulfillment partner network and service delivery processes to provide customer care solutions."
Data Analytics,Cloud Services & Platforms,Supply Chain Analytics,Global Delivery,Enterprise Intelligence,,,,,"Nulogy uses a cloud-based solution called PackManager to reduce costs, gain real-time visibility, improve compliance, and increase customer loyalty. Their solutions enable the personalization of consumer products by providing unprecedented responsiveness, automation, control, and collaboration."
Data Management,Data Infrastructure,Supply Chain Analytics,Cloud Services & Platforms,Data Visualization,Cloud Storage,Marketing Services,,,"Omneo provides digital content storage and processing systems for media companies to enable production and distribution of digital video and audio. It develops, markets, and sells a range of video servers, active storage systems, and related software applications to ingest, process, store, manage, and deliver digital media in various formats."
Data Analytics,Predictive Modeling,Supply Chain Analytics,Machine Learning,Risk & Regulatory Analytics,,,,,Ayata uses a software that helps corporations make smarter decisions about the future. Their patented technology can predict future outcomes of critical business processes and also prescribe decision options and show the impact of each option.
Data Analytics,Digital Transformation Services,Customer Analytics,Supply Chain Analytics,Cloud Services & Platforms,,,,,"Competitive Insights provides an Integrated Business Planning (IBP) that enables cross-functional users to make better fact based, data-driven decisions by translating a customer’s transactional data into advanced business insights regarding current and future operating performance."
Data Analytics,Supply Chain Analytics,Predictive Modeling,Data Visualization,Machine Learning,,,,,"Wide Scope develops new approaches that reduce costs and improve a company's operational efficiency by using Mathematics, Artificial Intelligence and Information Technologies."
Pervasive Computing,Marketing Analytics,Customer Analytics,Enterprise Intelligence,Networks & Sensors,Internet of Things,,,,"Nomi provides marketing and analytics solutions for retail stores. Its core offering combines physical in-store sensors with an analytics platform for understanding customer behavior, improving engagement, and running brick-and-mortar operations more efficiently. It also offers an omni-channel marketing attribution platform, and enables mobile location-aware marketing campaigns."
Crowdsourcing,Managed Crowds,Freelance Talent/Labor,Mobile and Web Development,,,,,,Gigster provides software development outsourcing by leveraging a crowd of software developers and product managers. Development projects can vary in length and scope from prototypes to complete products. It recruits for and operates a talent pool that covers the full development stack and can code on any platform in any language.
Data Analytics,Supply Chain Analytics,Risk & Regulatory Analytics,Enterprise Intelligence,,,,,,"Maplecroft helps organizations optimize and strengthen their risk management processes and supply chains by providing a full spectrum solution that uses a world-leading analysis, real-time locational monitoring and innovative risk calculator technology."
Artificial Intelligence,Machine Learning,Predictive Modeling,Customer Analytics,Financial Analytics,Enterprise Intelligence,,,,Context Relevant helps enterprises build predictive and real-time data models to generate insights from their unstructured data. Its platform leverages machine learning to identify the most efficient combination of data inputs and automate the building of predictive models. Its primary applications are in customer behavior analysis and pricing strategy.
Digital Enterprise,"Fraud Monitoring, Protection & 
Investigation",Supply Chain Analytics,Data Infrastructure,Digital Transformation Services,Cloud Services & Platform,,,,"Procurify is a cloud-based purchasing software solution that gives your company control and visibility of every dollar your company spends in real time by providing a platform to streamline the purchase approval process, optimize spending, and increase visibility throughout the entire procure-to-pay process."
Data Analytics,Supply Chain Analytics,Cloud Services & Platforms,Data Visualization,Market Research,,,,,"LogiNext helps logistics companies improve their internal operations, optimize delivery networks and provide superior customer service using data collection, advanced analytics and visualization."
Data Analytics,Supply Chain Analytics,Telematics,Data Infrastructure,Due Diligence,,,,,"Flexport is a licensed customs brokerage and freight forwarder built around a modern web application. They’re building an online dashboard for businesses to easily understand, purchase, manage and track the services required for global trade."
Pervasive Computing,Energy Efficiency,Networks & Sensors,Internet of Things,Enterprise Intelligence,,,,,"Enlighted provides smart sensors that help automate energy usage in buildings. It also provides a software platform that enables real-time analysis of data from its sensors and other systems for energy and spacial planning insights. Its sensors can capture data on room occupancy, lighting, temperature, and energy usage."
Pervasive Computing,Internet of Things,Mobile and Web Development,Wearables,Networks & Sensors,Cloud Services & Platforms,Data Infrastructure,,,"PubNub provides technology focused on managing large data streams across mobile apps and the Internet of Things. Its core platform enables developers to build ""real-time"" apps that require large volumes of data streaming live to users and require a network to manage that data at scale. It also enables real-time data streaming between connected devices in IoT applications including home automation, fleet tracking, and wearables."
Pervasive Computing,Internet of Things,Data Visualization,Data Aggregation,Enterprise Intelligence,Information Security,Cloud Storage,,,"TempoIQ provides a platform for centrally managing and analyzing connected device data in one place. It helps aggregate data from a variety of connected devices, store that data securely, and analyze it through custom analytics and dashboard formats. It also provides an API that can efficiently connect to any new IoT device and begin capturing its data for analyis."
Pervasive Computing,Enterprise Intelligence,Networks & Sensors,Internet of Things,,,,,,"Theatro provides a suite of applications to help retailers improve their in-store experience and operational efficiency. Its core wearable device products enable floor employees to check inventory, locate their manager, and communicate with one another. It also offers an application for analysis on store-wide and company-wide operations, featuring functionality for transparency and direct collaboration between employees, other store locations, and headquarters."
Crowdsourcing,Mobile and Web Development,Managed Crowds,Software Testing,,,,,,"Apptourage helps enterprises test their mobile and web apps prior to launch by engaging a crowd of consumers to conduct the testing. It pays the consumers for their time and effort, and enables enterprises to target by specific demographics such as age and gender."
Artificial Intelligence,Natural Language Processing,Process Automation,Data Visualization,Text Analytics,Enterprise Intelligence,Knowledge Management,,,"Thoughtly provides natural language processing tools to help enterprises generate insights from unstructured text. It's flagship product, Ellipse, is a self-service tool for analysts to analyze and visualize text data in real-time. It also has applications in government and academic research."
Artificial Intelligence,Machine Learning,Predictive Modeling,Marketing Analytics,Customer Analytics,,,,,Oxdata H2O is an open source machine learning platform designed to aid development of smarter applications that leverage machine learning.
Artificial Intelligence,Machine Learning,Natural Language Processing,Process Automation,Social Media,Text Analytics,Knowledge Management,Computer Vision,,"Indico is a machine learning company that offers a suite of APIs to help organizations make sense of raw text and image data. Its API applications include text tagging/structuring, sentiment analysis, and emotional recognition. It also provides custom solutions."
Artificial Intelligence,Machine Learning,Computer Vision,Natural Language Processing,Mobile and Web Development,Process Automation,,,,"Diffbot is a developer of machine learning and computer vision algorithms and public APIs for web data extraction. The company offers software developers with tools to extract and understand objects from any Web page, which include Automatic APIs to extract content from supported page types, such as articles, products, discussions, images, and more; Crawlbot that uses various Diffbot API to extract data from entire sites, and Bulk Processing that extracts structured data from various URLs in a single job; and Custom APIs that enables users to extract any data from any Web page using custom rules and an instant API. It provides solutions for building an app that uses Web content; an enterprise business application; or a smart robotic assistant."
Workforce of the Future,Education,Training & Development,Design Thinking,Mobile & Web Development,,,,,"Coursera is a free online educational platform offering courses on a wide variety of subjects. It partners with over 100 universities and educational programs to provide over 1,000 different courses. Users can engage with content in a variety of formats including video lectures, interactive quizzes, and peer-graded assessments. Participating universities also leverage the platform with their own students for blended learning."
Workforce of the Future,Education,Mobile & Web Development,Knowledge Management,Neuroscience,,,,,"Kidaptive is a learning technology company that applies ""adaptive learning"" to improve how learners progress through an online curriculum. It understand and adjusts to the needs of specific individuals and provides reports on how learners are performing. It's applications are focused on early education for children under 5 years old."
Artificial Intelligence,Natural Language Generation,Natural Language Processing,Process Automation,,,,,,"Arria is a maker of natural language generation software. The company uses artificial intelligence software that specializes in extracting information from complex data sources and communicating that information in natural language. The company provides its products and solutions to the oil and gas, healthcare, weather reporting, financial services, advertising and marketing, and management reporting industries. "
Crowdsourcing,Managed Crowds,Project Management,Machine Learning,Process Automation,Global Delivery,,,,"Samasource is the premier partner for data projects that require a human touch. They provide high-quality data solutions for your business and manage the end-to-end delivery process through secure onshore, nearshore and offshore operations. They have a proven track record with enterprise clients including eBay, Walmart, Google, Glassdoor, Getty Images, TripAdvisor, Microsoft, and Cisco."
Data Management,Data Infrastructure,Data Aggregation,Data Recovery,,,,,,"Factom maintains a permanent, time-stamped record of your data in the blockchain. Reduce the cost and complexity of conducting audits, managing records, and complying with government regulations."
Workforce of the Future,Accelerators,Design Thinking,Collaboration Spaces,,,,,,"RocketSpace helps tech entrepreneurs, startups and corporate professionals bring the future to market. The company offers services to its members including programming, consulting, events, and office-as-a-service, which together create the perfect ecosystem and community for innovation to thrive. "
Data Analytics,Predictive Modeling,Machine Learning,Data Visualization,Enterprise Intelligence,"Fraud Monitoring, Protection & Investigation",Internet of Things,Customer Analytics,Risk & Regulatory Analytics,Sparkling Logic helps enterprises make more efficient and informed decisions through prescriptive analytics and decision management. Its core platform leverages machine learning to extract insights from big data and convert those insights into predictive models that can be used to automate decision-making.
Workforce of the Future,Expert Networks,Mobile and Web Development,Accelerators,Design Thinking,Collaboration Spaces,,,,"TechShop is a membership-based community that provides access to equipment, software, and space for individuals that want to build things. Members get access to facilities and instructional courses on a variety of topics from software to development to woodworking to metal fabrication. It offers a variety of physical locations nationwide."
Pervasive Computing,Internet of Things,Networks & Sensors,Telematics,Energy Efficiency,Environmental Footprint,Enterprise Intelligence,,,"TeleSense provides a ""real-time-asset-monitoring"" solution for remote temperature sensing, energy monitoring and optimization, and predictive maintenance of HVAC systems for commercial buildings and industrial facilities."
Pervasive Computing,Internet of Things,Wearables,Networks & Sensors,Advanced Manufacturing,Mobile and Web Development,,,,"Weaved provides a software-defined networking solution that enables internet-connected devices to be easily interoperable and communicate with one another without extra software layers or in-house expertise in networking, mobile security or firmware development. This enables developers and manufacturers to develop and deploy Internet of Things applications in weeks rather than months or years."
Data Analytics,Natural Language Processing,Enterprise Intelligence,Data Visualization,Data Aggregation,Knowledge Management,,,,"Drastin leverages natural language search to connect enterprises with and generate insights from their data quickly. Its platform helps enrich data from all available sources and provides recommendations, policy-based actions, and anomalies detection."
Pervasive Computing,Internet of Things,Advanced Manufacturing,Mobile and Web Development,Wearables,Networks & Sensors,Cloud Services & Platforms,Data Infrastructure,,"Exosite provides an end-to-end cloud-based platform for creating and managing internet connected devices. It enables the design and build of new connected devices in parallel with developing associated apps and the infrastructure to manage the connected network in one solution. It's focus is on flexibility and enabling developers to leverage the platform at any stage, including integration with existing devices."
Workforce of the Future,Performance Management,Training & Development,Education,Design Thinking,Mobile & Web Development,,,,"Udacity is an ""online university by industry"" that partners with Silicon Valley companies to design and offer courses in technology and data science. Students earn valid credentials through course completion which involves online classes and hands-on projects addressing real-world problems. It also features a program for enterprises to educate their existing workforce."
Workforce of the Future,Education,Performance Management,Virtual Collaboration,,,,,,"ClassDojo is a platform for student-parent-teacher collaboration and student encouragement. Teachers can communicate directly with students and their parents through a mobile app, where individual progress-tracking, instant-messaging, class announcements, and files can be shared. Beyond simple messaging, its core focus is on tracking and encouraging improvement for students through an intuitive interface."
Workforce of the Future,Education,Training & Development,Collaboration Spaces,Talent Sustainability,,,,,"TribeLearn connects people in similar career fields to collaborate and develop their skills through a peer-to-peer learning environment. It consists of ""Tribes"" for each career field, which are hosted by an authority or thought-leader in the field. Tribe participants interact live on the platform and participate in scheduled trainings which are recorded for the group."
Workforce of the Future,Education,Performance Management,Virtual Collaboration,,,,,,"Remind is a communication tool for teachers to connect quickly and efficiently with students and parents. It focuses on simplicity, with text messaging and alerts to any device as the core features. Teachers can also send class announcements, files, and voice messages through the tool."
Workforce of the Future,Training & Development,Education,Workforce Analytics,Performance Management,,,,,"Panorama Education is a data analytics company focused on K-12 education. They help school districts, charter networks, and state governments conduct surveys of students, parents, teachers, and staff.  In addition to its technology platform, Panorama provides implementation consultation, technical assistance, and training to its clients."
Workforce of the Future,Training & Development,Education,,,,,,,"ForClass offers a cloud-based, device-agnostic platform that combines academic content, assessment and classroom management. ForClass expands the reach of authors and publishers, saves professors valuable preparatory and class management time while supplying them with real-time student performance and assessment analytics, and increases student engagement through accountability."
Crowdsourcing,Training & Development,Education,,,,,,,"Duolingo is a free online language learning service and is the biggest mobile language learning application in the world, with more than 80 million students globally. They currently offer courses in more than 30 languages on the Web, Android, iOS and Windows."
Workforce of the Future,Training & Development,Education,,,,,,,"Rosetta Stone Inc. (NYSE: RST) is dedicated to changing people's lives through the power of language and literacy education. The company's innovative, personalized language and reading programs drive positive learning outcomes in thousands of schools, businesses, government organizations and for millions of individual learners around the world."
Crowdsourcing,Managed Crowds,Expert Networks,Training & Development,Education,,,,,"Udemy provides an online learning marketplace, where 8 million+ students are taking courses in everything from programming to yoga to photography–and much, much more. Each of their 32,000+ courses is taught by an expert instructor, and every course is available on-demand, so students can learn at their own pace, on their own time, and on any device."
Digital Enterprise,Crowd Management Platforms,Mobile and Web Development,Social Media,Knowledge Management,Customer Analytics,,,,"Bizzabo provides an all-in-one event planning and management platform. It enables event organizers to set up custom websites for their events, sell tickets, and conduct promotion activity and outreach. It also features a mobile app for engaging with attendees live during the event and analytics to gauge satisfaction after the event."
Digital Enterprise,Digital Transformation Services,Cloud Services & Platforms,Project Management,Performance Management,Regulation & Compliance,Workforce Analytics,Enterprise Intelligence,,"Workday (IPO in 2012) provides SaaS-based enterprise solutions for human resources, payroll and financial management. More than 130 customers, spanning mid-sized organizations to global Fortune 500 businesses, use Workday. Workday also offers enterprise insights through data analysis and machine learning, as well as project management and resourcing tools. "
Crowdsourcing,Competitions,Crowd Management Platforms,Managed Crowds,Freelance Talent/Labor,Marketing Services,,,,"Tongal is a platform that connects businesses in need of creative work with an always-on network of writers, directors, and production companies who deliver it. Tongal‘s original methodology for completing projects operates like an open assembly line – where anyone can contribute – from ideation through the production of content. Tongal’s global creative community creates TV commercials, original content, digital advertising, and instructional videos, providing customers with major advantages in speed, economics, and total brain-power."
Data Analytics,Cloud Services & Platforms,Customer Analytics,Data Aggregation,Risk & Regulatory Analytics,,,,,"Informatica's products support a broad range of enterprise-wide integration initiatives, including data warehousing, data migration, analytics, single-view and synchronization. The company's next generation of analytics products enable firms to access, discover, integrate and deliver enterprise data across systems that lets  you uncover hidden connections, unseen correlations and see patterns for predicting future behaviors."
Data Analytics,Cloud Services & Platforms,Data Visualization,Enterprise Intelligence,Mobile and Web Development,Predictive Modeling,,,,"MicroStrategy 10 is an analytics platform that offers business intelligence combined with enterprise-grade performance, management, and security capabilities. MicroStrategy's cloud based offering-Secure Cloud helps in building reports and dashboards, managing mobile applications, and capitalizing on social media. Specific analytics modules include human resources management, Web traffic analysis, and sales and distribution."
Data Analytics,Marketing Analytics,Social media,Enterprise Intelligence,Cloud Services & Platforms,,Data Recovery,Supply chain Analytics,,"Teradata designs and implements enterprise data warehousing systems that store and analyze information about customers, financials, and operations. Products include its core database software, hardware components, and applications for managing demand and supply chains, marketing, performance, and risk. It also offers consulting, support, and training services.
"
Data Analytics,Data Visualization,Cloud services and platforms,Data Aggregation,Social media,Enterprise Intelligence,,,,Tableau provides visual analytics tools that empowers people to create a self-service analytics dashboard which can be also accessed over cloud and mobile. 
Pervasive Computing,Internet of Things,Networks & Sensors,Cloud Services & Platforms,Mobile and Web Development,Enterprise Intelligence,,,,"Helium offers optimized sensors, wireless capabilities, and local processing, all in one compact form. Powered by the Helium Cloud platform, connected devices operate in a highly secure and scalable manner using Helium network and platform infrastructure."
Pervasive Computing,Internet of Things,Networks & Sensors,,,,,,,"Phase IV Engineering is involved in research, development, and production of passive and active wireless sensor and monitoring products. Passive wireless sensing is based on RFID technology. Phase IV Engineering further provides value by adding GPS, LAN, and SATCOM communication links to active and passive RFID sensing systems."
Crowdsourcing,Competitions,Crowd Management Platforms,Managed Crowds,Expert Networks,Crowdfunding,,,,"XPRIZE Foundation is an educational nonprofit prize institute whose mission is to solve mankind's greatest challenges through incentivized prize competitions. It designs and manages public competitions intended to encourage technological development in the fields of Energy & Environment, Exploration, Global Development, Learning and Life Sciences."
Crowdsourcing,Crowd Management Platforms,Managed Crowds,Freelance Talent/Labor,Exchanges,Mobile and Web Development,Remote Workforce,Virtual Collaboration,Project Management,"Gigwalk develops and provides workforces management mobile applications. They make work better by developing mobile applications that transform and improve the nature of work and the relationship between employers and employees. They help businesses more efficiently manage distributed workforces to achieve better business outcomes and we give workers greater control and flexibility, so everyone can get work done It offers."
Pervasive Computing,Wearables,Internet of Things,Augmented Reality,Virtual Collaboration,,,,,"APX Labs provides a software platform that powers practical applications of wearable devices and smart glasses for enterprises. Its flagship product, Skylight, enables visual alerts within smart glasses and the visualization of information based on the objects in the user's field of vision. It also enables two-way communication among employees and field workers. Skylight's most common applications are currently in factory work and engineering."
Artificial Intelligence,Predictive Modeling,Machine Learning,Enterprise Intelligence,Cognitive Technology,,,,,"LionSolver offers a comprehensive machine learning and intelligent optimization tool for non-profit research and academic use.  It can help with rapid development of prescriptive analytics applications.  They also offer in-person, emmersive workshops to help businesses understand how to use big data analytics to solve real world business problems."
Artificial Intelligence,Cognitive Technology,Natural Language Processing,Robotics,Machine Learning,,,,,"iDAvatars creates interactive mobile technology that focuses on enhancing the relationship with the user. Their digital avatars have an IQ to help connect people and share information and EQ to help them to respond to the human condition, interacting with users with empathy and humanity."
Artificial Intelligence,Process Automation,Natural Language Processing,Optical Character Recognition (OCR),Knowledge Management,Legal Document Review,Process Automation,Machine Learning,Cognitive Technology,"A2iA develops software tools that help end users optimize their data capture, document processing and Process Automation capabilities.  A2iA’s products recognition technologies – including handwriting recognition, intelligent word and optical character recognition – that address complex data extraction and document processing needs."
Data Management,Optical Character Recognition (OCR),Knowledge Management,Legal Document Review,"Extract, Transform, Load (ETL)",Machine Learning,Process Automation,Cognitive Technology,Computer Vision,"Parascript provides document capture and recognition solutions, with intelligent document recognition (IDR) solutions that recognize and analyze images, cursive and handprint via machine learning. Parascript facilitates business automation across a broad range of markets for forms processing, postal and financial automation, check fraud prevention, and remittance processing; and also supports cancer screening in medical imaging."
Data Analytics,Risk & Regulatory Analytics,Natural Language Processing,Predictive Modeling,Financial Analytics,Regulation & Compliance,Health Information Systems,Healthcare Analytics,,"Health Fidelity delivers solutions for value-based health care era by using big data analytics and natural language processing to help optimize risk adjustments and identify, quantify and manage risk for organizations that participate in Medicare Advantage, Health Insurance Exchange and Medicare ACO programs."
Data Analytics,Text Analytics,Natural Language Processing,Machine Learning,Knowledge Management,Cognitive Technology,,,,"Text-IE Inc. is a text analytics technology company that analyzes unstructured data - access, retrieval, categorization, extraction and mining, as well as a wide range of knowledge management applications.  The company also provides middleware that supports application programmers dealing with unstructured data and provides them with easier ways to build advanced information extraction and Data Analytics applications."
Artificial Intelligence,Machine Learning,Natural Language Processing,Predictive Modeling,Cognitive Technology,,,,,Beyond limits uses artificial intelligence to identify patterns in massive amounts of structured and unstructured data.
Pervasive Computing,Internet of Things,Predictive Modeling,Cloud Services & Platforms,Smart Grid,Enterprise Intelligence,Advanced Manufacturing,Telematics,,"IBM's Internet of Things provides simple, but powerful application access to IoT devices and data to help create analytics applications, visualization dashboards and mobile based IoT apps.IBM Internet of Things Foundation is a fully managed, cloud-hosted service that makes it simple to derive value from Internet of Things (IoT) devices. "
Legal and Regulatory,E-Discovery,Legal Document Review,Regulation & Compliance,Optimal Character Recognition (OCR),Data Visualization,Text Analytics,,,"Venio FPR (VFPR) Integrated eDiscovery Platform is a single-source solution for all phases of the eDiscovery process: early case assessment, data processing, analytics, review, and production. Venio's single application eliminates the need for loading files and shuffling data between multiple piecemeal applications. Web-based with a simple user interface, VFPR requires minimal training, is highly scalable, and is powerful enough for any size discovery project."
Legal and Regulatory,E-Discovery,Legal Document Review,Regulation & Compliance,"Extract, Transform, Load (ETL)",Data Visualization,Text Analytics,Optimal Character Recognition (OCR),,"kCura develops Web-based e-discovery applications for managing large volumes of electronic evidence during litigation and investigations. It offers kCura Relativity, a legal e-discovery application that is used by corporations, government agencies, law firms, and service providers for everything from litigation to internal investigations to responding to government requests, as well as reduces risks and helps clients control costs associated with identifying, collecting, and analyzing electronic data. "
Data Analytics,Enterprise Intelligence,Data Visualization,Customer Analytics,Predictive modeling,Marketing Analytics,Risk & Regulatory Analytics,Workforce Analytics,Text Analytics,"Oracle Database 12c makes it easy to consolidate many databases quickly and manage them as a cloud service. Its solutions include data warehousing, database management, and big data analytics. It helps in delivering new levels of efficiency, performance, security, and availability. "
Data Analytics,Financial Analytics,Workforce Analytics,Supply Chain Analytics,Enterprise Intelligence,Performance Management,,,,"SAP ERP Central Component (ECC) is an ERP software which consists of several modules such as Financials (FI), Material Management (MM), Sales and Distribution (SD), Human Capital Management (HCM) that provide organizations with great control over their key business processes."
Data Analytics,Enterprise Intelligence,Data Visualization,Financial Analytics,Workforce Analytics,Predictive modeling,Risk & Regulatory Analytics,Performance Management,Internet of Things,"IBM Cognos Enterprise is a business intelligence and performance management solution that allows users to assemble information that helps them understand the business, share insights with colleagues and act on findings to drive your business forward. "
Data Analytics,Data Visualization,Enterprise Intelligence,Predictive modeling,Data Aggregation,Customer Analytics,Text Analytics,,,"SAS Analytics Pro tool provides advanced statistical analysis, reporting and visuals in one package. This offering includes three products: Base SAS, SAS/STAT and SAS/GRAPH."
Artificial Intelligence,Process Automation,Digital Transformation Services,Cloud Services & Platforms,Mobile and Web Development,Regulation & Compliance,Cognitive Technology,,,Worksoft Inc. is an automation technology company providing software for automating business process discovery and validation.
Artificial intelligence,Process Automation,Robotics,Enterprise Intelligence,Cloud Services & Platforms,,,,,"Innovise enables companies to drive change by providing the technologies to enable end-to-end automation of operations via integration, process automation, and decision orchestration. "
Artificial Intelligence,Process Automation,Machine Learning,Cognitive Technology,Knowledge Management,Data Aggregation,Customer Analytics,Process Automation,Robotics,Celaton creates and applies artificial intelligence to streamline and automate labour intensive clerical tasks and decision making in the processing of unstructured content thereby improving customer service.
Artificial intelligence,Process Automation,Robotics,Cloud Services & Platforms,Enterprise Intelligence,,,,,"Virtual Operations help organisations with staff deployment, innovation, compliance and better information through robotic process automation. They provide services ranging from automation consulting and design to implementation and developer training services. "
Artificial intelligence,Process Automation,Robotics,Cloud Services & Platforms,Process Automation,,,,,"Automic is involved in automation of business processes, applications and infrastructure. Automic created a single automation platform which can be used across all business processes, applications and infrastructure enabling businesses to automate day-to-day operations Continuous Service - Automic Service Orchestration is one of the products for service orchestration. "
Pervasive Computing,Advanced Manufacturing,Internet of Things,Design Thinking,Training & Development,,,,,"3D Systems develops 3D printers and software solutions that focus on the professional and consumer segments. Their solutions are designed to replace traditional development methods and, ultimately, lower the cost and time to design new products."
Digital Enterprise,Cloud Services & Platforms,Enterprise Intelligence,Knowledge Management,Project Management,Virtual Collaboration,,,,"Apttus provides a suite of SaaS solutions that help organizations better manage their quote-to-cash lifecycle. It's integration with Salesforce is aimed at better aligning sales teams with the various business functions (i.e. legal, finance, IT) that can impact their ability to close deals. Applications include configure price quote (CPQ), contract management and sharing, revenue cycle management, and supplier relationship management."
Digital Enterprise,Cloud Services & Platforms,Enterprise Intelligence,Knowledge Management,Virtual Collaboration,Marketing Services,Customer Analytics,,,"Callidus Software provides integrated sales, marketing, and contract management solutions that help enterprises close deals faster and streamline their quote-to-cash lifecycle. Key applications include marketing automation software, configure price quote (CPQ), and sales team management/compensation solutions. It's marketing platform enables direct customer outreach and communication."
Data Analytics,Information Exchange,Enterprise Intelligence,Knowledge Management,Data Infrastructure,Health Information Systems,Mobile Health,Clinical Research/Testing,,"Cerner provides information management and analytics solutions targeting healthcare systems and providers. Key offerings include EHR aggregation and data warehousing, data analytics, and health information exchange services. Its solutions are focused on enabling effective growth of population health management."
Digital Enterprise,Cloud Services & Platforms,Enterprise Intelligence,Knowledge Management,Data Aggregation,Project Management,Workforce Analytics,Process Automation,,"Coupa provides a cloud-based spend management platform to help enterprises reduce overhead spend and increase efficiency across business units. It's platform integrates a variety of applications including procurement, invoicing, inventory, contracting, and budgeting. It focuses on intuititve user functionality to drive employee adoption, and includes reporting features for enterprise-wide spend analysis."
